Time,Displacement,Force
(s),(mm),(mN)
"4.3400","0.4243","34.4432"
"4.3500","0.4254","34.1808"
"4.3600","0.4264","34.3721"
"4.3700","0.4274","34.9675"
"4.3800","0.4285","35.4243"
"4.3900","0.4295","35.7919"
"4.4000","0.4305","35.7270"
"4.4100","0.4315","35.7806"
"4.4200","0.4325","36.0544"
"4.4300","0.4335","36.1600"
"4.4400","0.4345","35.6447"
"4.4500","0.4355","34.9702"
"4.4600","0.4366","35.0082"
"4.4700","0.4376","35.5616"
"4.4800","0.4386","36.2294"
"4.4900","0.4396","36.5688"
"4.5000","0.4406","36.9997"
"4.5100","0.4416","37.0532"
"4.5200","0.4426","36.7548"
"4.5300","0.4436","36.2152"
"4.5400","0.4446","35.7838"
"4.5500","0.4456","35.6949"
"4.5600","0.4465","36.4351"
"4.5700","0.4474","37.0585"
"4.5800","0.4484","36.9906"
"4.5900","0.4493","36.4671"
"4.6000","0.4502","36.4706"
"4.6100","0.4512","37.2214"
"4.6200","0.4521","37.9635"
"4.6300","0.4531","38.0545"
"4.6400","0.4541","37.7653"
"4.6500","0.4551","37.4841"
"4.6600","0.4561","36.9717"
"4.6700","0.4571","36.3671"
"4.6800","0.4581","36.0946"
"4.6900","0.4592","36.9381"
"4.6990","0.4601","38.0642"
"4.7090","0.4612","38.9823"
"4.7190","0.4622","39.0308"
"4.7290","0.4633","38.8558"
"4.7390","0.4644","38.5580"
"4.7490","0.4655","38.2323"
"4.7590","0.4666","37.8688"
"4.7690","0.4677","37.5409"
"4.7790","0.4688","37.2332"
"4.7890","0.4698","37.4343"
"4.7990","0.4708","38.0684"
"4.8090","0.4717","38.6597"
"4.8190","0.4726","39.5236"
"4.8290","0.4735","40.0522"
"4.8390","0.4744","39.9738"
"4.8490","0.4753","39.1429"
"4.8590","0.4763","38.4289"
"4.8690","0.4772","37.7722"
"4.8790","0.4782","37.9297"
"4.8890","0.4791","38.7422"
"4.8990","0.4800","39.7451"
"4.9090","0.4810","39.8807"
"4.9190","0.4819","39.4196"
"4.9290","0.4829","39.4798"
"4.9390","0.4839","39.8065"
"4.9490","0.4848","40.0373"
"4.9590","0.4858","40.1885"
"4.9690","0.4868","40.3488"
"4.9790","0.4878","39.8332"
"4.9890","0.4888","39.3450"
"4.9990","0.4900","39.2689"
"5.0090","0.4911","39.7637"
"5.0190","0.4923","40.3714"
"5.0290","0.4934","40.9523"
"5.0390","0.4946","41.0150"
"5.0490","0.4957","40.6488"
"5.0590","0.4969","40.2895"
"5.0690","0.4980","40.4972"
"5.0790","0.4991","40.7951"
"5.0890","0.5001","40.6335"
"5.0990","0.5010","40.3272"
"5.1090","0.5020","40.1073"
"5.1190","0.5029","40.4349"
"5.1290","0.5037","40.9087"
"5.1390","0.5046","41.5001"
"5.1490","0.5054","41.9483"
"5.1590","0.5063","42.5365"
"5.1690","0.5071","42.4029"
"5.1790","0.5080","41.2630"
"5.1880","0.5088","40.2144"
"5.1980","0.5097","40.1779"
"5.2080","0.5106","41.0088"
"5.2180","0.5116","41.8431"
"5.2280","0.5126","42.3350"
"5.2380","0.5136","42.1656"
"5.2480","0.5146","42.0230"
"5.2580","0.5156","42.2499"
"5.2680","0.5166","42.7677"
"5.2780","0.5177","42.6374"
"5.2880","0.5187","42.2012"
"5.2980","0.5199","41.7654"
"5.3080","0.5210","41.7024"
"5.3180","0.5222","41.6630"
"5.3280","0.5234","41.9997"
"5.3380","0.5245","42.7605"
"5.3480","0.5256","43.4628"
"5.3580","0.5267","43.8394"
"5.3680","0.5277","43.6543"
"5.3780","0.5287","42.8882"
"5.3880","0.5297","42.4196"
"5.3980","0.5306","42.7780"
"5.4080","0.5316","43.0828"
"5.4180","0.5326","43.0154"
"5.4280","0.5335","42.7528"
"5.4380","0.5345","43.1607"
"5.4480","0.5355","43.6091"
"5.4580","0.5364","43.8871"
"5.4680","0.5374","44.0375"
"5.4780","0.5382","44.4116"
"5.4880","0.5391","44.5645"
"5.4980","0.5400","44.0900"
"5.5080","0.5408","43.2105"
"5.5180","0.5418","42.8035"
"5.5280","0.5427","43.2466"
"5.5380","0.5437","44.0620"
"5.5480","0.5447","44.7182"
"5.5580","0.5458","44.8052"
"5.5680","0.5469","44.9820"
"5.5780","0.5480","45.0736"
"5.5880","0.5491","44.8333"
"5.5980","0.5502","44.5257"
"5.6080","0.5513","44.5982"
"5.6180","0.5524","44.6349"
"5.6280","0.5534","44.5812"
"5.6380","0.5545","44.4316"
"5.6480","0.5555","44.6638"
"5.6580","0.5565","45.0026"
"5.6680","0.5575","45.3863"
"5.6780","0.5585","45.9677"
"5.6880","0.5594","46.2542"
"5.6980","0.5604","45.8979"
"5.7080","0.5614","45.2858"
"5.7180","0.5623","45.1053"
"5.7280","0.5633","45.1260"
"5.7380","0.5642","45.3888"
"5.7480","0.5652","45.6938"
"5.7580","0.5662","46.1027"
"5.7680","0.5671","46.5157"
"5.7780","0.5681","46.5945"
"5.7880","0.5691","46.2005"
"5.7980","0.5700","45.8698"
"5.8080","0.5709","45.9904"
"5.8180","0.5719","46.3298"
"5.8280","0.5729","46.3509"
"5.8380","0.5739","46.0662"
"5.8480","0.5749","46.1872"
"5.8580","0.5760","46.5426"
"5.8680","0.5770","46.7862"
"5.8780","0.5781","46.9143"
"5.8880","0.5791","47.1879"
"5.8980","0.5801","47.4369"
"5.9080","0.5811","47.6674"
"5.9180","0.5821","47.4148"
"5.9280","0.5831","46.8585"
"5.9380","0.5841","46.3337"
"5.9480","0.5851","46.5735"
"5.9580","0.5861","47.2175"
"5.9680","0.5871","47.6778"
"5.9780","0.5881","47.9715"
"5.9880","0.5891","48.0390"
"5.9980","0.5902","48.0696"
"6.0080","0.5912","48.0589"
"6.0180","0.5922","48.0619"
"6.0280","0.5932","47.8531"
"6.0380","0.5941","47.7609"
"6.0480","0.5951","47.7835"
"6.0580","0.5961","47.7602"
"6.0680","0.5972","47.4240"
"6.0780","0.5982","47.8415"
"6.0870","0.5992","48.8513"
"6.0970","0.6003","49.6705"
"6.1070","0.6014","49.5593"
"6.1170","0.6026","49.1090"
"6.1270","0.6036","48.7364"
"6.1370","0.6047","48.4059"
"6.1470","0.6057","48.1859"
"6.1570","0.6067","48.1049"
"6.1670","0.6076","48.3948"
"6.1770","0.6085","48.7590"
"6.1870","0.6094","49.2622"
"6.1970","0.6103","49.3499"
"6.2070","0.6112","49.5910"
"6.2170","0.6121","49.8583"
"6.2270","0.6130","50.2831"
"6.2370","0.6139","50.2856"
"6.2470","0.6148","49.8425"
"6.2570","0.6158","49.1605"
"6.2670","0.6167","48.7828"
"6.2770","0.6176","49.0587"
"6.2870","0.6186","49.7344"
